edge_ratio,inf_prob,act_rate,rec_rate,ds_rate,di_rate,dr_rate,time,s_num,i_num,r_num,num
0.001,0.3,1,0,0,0.03,0,7,499,1,0,500
0.001,0.3,1,0,0,0.03,0,7,491,9,0,500
0.001,0.3,1,0,0,0.03,0,7,494,6,0,500
0.001,0.3,1,0,0,0.03,0,7,491,8,0,499
0.001,0.3,1,0,0,0.03,0,7,499,1,0,500
0.001,0.3,1,0,0,0.03,0,7,496,4,0,500
0.001,0.3,1,0,0,0.03,0,7,494,5,0,499
0.001,0.3,1,0,0,0.03,0,7,493,7,0,500
0.001,0.3,1,0,0,0.03,0,7,498,2,0,500
0.001,0.3,1,0,0,0.03,0,7,498,2,0,500
0.001,0.3,1,0,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0,0,0.13,0,7,498,0,0,498
0.001,0.3,1,0,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0,0,0.13,0,7,499,1,0,500
0.001,0.3,1,0,0,0.13,0,7,494,4,0,498
0.001,0.3,1,0,0,0.13,0,7,498,2,0,500
0.001,0.3,1,0,0,0.13,0,7,496,4,0,500
0.001,0.3,1,0,0,0.13,0,7,499,1,0,500
0.001,0.3,1,0,0,0.13,0,7,498,1,0,499
0.001,0.3,1,0,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0,0,0.23,0,7,496,2,0,498
0.001,0.3,1,0,0,0.23,0,7,497,0,0,497
0.001,0.3,1,0,0,0.23,0,7,496,2,0,498
0.001,0.3,1,0,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0,0,0.23,0,7,496,4,0,500
0.001,0.3,1,0,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0,0,0.23,0,7,484,10,0,494
0.001,0.3,1,0,0.025,0.03,0.025,7,423,4,0,427
0.001,0.3,1,0,0.025,0.03,0.025,7,430,0,0,430
0.001,0.3,1,0,0.025,0.03,0.025,7,420,2,0,422
0.001,0.3,1,0,0.025,0.03,0.025,7,420,1,0,421
0.001,0.3,1,0,0.025,0.03,0.025,7,409,11,0,420
0.001,0.3,1,0,0.025,0.03,0.025,7,434,2,0,436
0.001,0.3,1,0,0.025,0.03,0.025,7,440,1,0,441
0.001,0.3,1,0,0.025,0.03,0.025,7,429,0,0,429
0.001,0.3,1,0,0.025,0.03,0.025,7,429,2,0,431
0.001,0.3,1,0,0.025,0.03,0.025,7,419,7,0,426
0.001,0.3,1,0,0.025,0.13,0.025,7,417,3,0,420
0.001,0.3,1,0,0.025,0.13,0.025,7,426,0,0,426
0.001,0.3,1,0,0.025,0.13,0.025,7,432,0,0,432
0.001,0.3,1,0,0.025,0.13,0.025,7,432,0,0,432
0.001,0.3,1,0,0.025,0.13,0.025,7,428,0,0,428
0.001,0.3,1,0,0.025,0.13,0.025,7,426,8,0,434
0.001,0.3,1,0,0.025,0.13,0.025,7,442,3,0,445
0.001,0.3,1,0,0.025,0.13,0.025,7,423,2,0,425
0.001,0.3,1,0,0.025,0.13,0.025,7,426,0,0,426
0.001,0.3,1,0,0.025,0.13,0.025,7,420,0,0,420
0.001,0.3,1,0,0.025,0.23,0.025,7,401,5,0,406
0.001,0.3,1,0,0.025,0.23,0.025,7,422,1,0,423
0.001,0.3,1,0,0.025,0.23,0.025,7,433,0,0,433
0.001,0.3,1,0,0.025,0.23,0.025,7,437,0,0,437
0.001,0.3,1,0,0.025,0.23,0.025,7,429,3,0,432
0.001,0.3,1,0,0.025,0.23,0.025,7,435,2,0,437
0.001,0.3,1,0,0.025,0.23,0.025,7,427,2,0,429
0.001,0.3,1,0,0.025,0.23,0.025,7,422,0,0,422
0.001,0.3,1,0,0.025,0.23,0.025,7,418,1,0,419
0.001,0.3,1,0,0.025,0.23,0.025,7,443,0,0,443
0.001,0.3,1,0,0.05,0.03,0.05,7,362,8,0,370
0.001,0.3,1,0,0.05,0.03,0.05,7,362,7,0,369
0.001,0.3,1,0,0.05,0.03,0.05,7,367,4,0,371
0.001,0.3,1,0,0.05,0.03,0.05,7,363,3,0,366
0.001,0.3,1,0,0.05,0.03,0.05,7,368,1,0,369
0.001,0.3,1,0,0.05,0.03,0.05,7,369,6,0,375
0.001,0.3,1,0,0.05,0.03,0.05,7,355,6,0,361
0.001,0.3,1,0,0.05,0.03,0.05,7,357,3,0,360
0.001,0.3,1,0,0.05,0.03,0.05,7,361,1,0,362
0.001,0.3,1,0,0.05,0.03,0.05,7,369,0,0,369
0.001,0.3,1,0,0.05,0.13,0.05,7,373,0,0,373
0.001,0.3,1,0,0.05,0.13,0.05,7,368,4,0,372
0.001,0.3,1,0,0.05,0.13,0.05,7,384,0,0,384
0.001,0.3,1,0,0.05,0.13,0.05,7,373,0,0,373
0.001,0.3,1,0,0.05,0.13,0.05,7,367,0,0,367
0.001,0.3,1,0,0.05,0.13,0.05,7,361,0,0,361
0.001,0.3,1,0,0.05,0.13,0.05,7,361,5,0,366
0.001,0.3,1,0,0.05,0.13,0.05,7,377,4,0,381
0.001,0.3,1,0,0.05,0.13,0.05,7,354,3,0,357
0.001,0.3,1,0,0.05,0.13,0.05,7,379,0,0,379
0.001,0.3,1,0,0.05,0.23,0.05,7,368,0,0,368
0.001,0.3,1,0,0.05,0.23,0.05,7,366,0,0,366
0.001,0.3,1,0,0.05,0.23,0.05,7,368,2,0,370
0.001,0.3,1,0,0.05,0.23,0.05,7,374,0,0,374
0.001,0.3,1,0,0.05,0.23,0.05,7,398,1,0,399
0.001,0.3,1,0,0.05,0.23,0.05,7,366,0,0,366
0.001,0.3,1,0,0.05,0.23,0.05,7,366,0,0,366
0.001,0.3,1,0,0.05,0.23,0.05,7,384,1,0,385
0.001,0.3,1,0,0.05,0.23,0.05,7,375,5,0,380
0.001,0.3,1,0,0.05,0.23,0.05,7,360,0,0,360
0.001,0.3,1,0.05,0,0.03,0,7,496,3,1,500
0.001,0.3,1,0.05,0,0.03,0,7,498,1,1,500
0.001,0.3,1,0.05,0,0.03,0,7,499,0,1,500
0.001,0.3,1,0.05,0,0.03,0,7,499,0,1,500
0.001,0.3,1,0.05,0,0.03,0,7,499,1,0,500
0.001,0.3,1,0.05,0,0.03,0,7,497,3,0,500
0.001,0.3,1,0.05,0,0.03,0,7,496,3,0,499
0.001,0.3,1,0.05,0,0.03,0,7,498,0,2,500
0.001,0.3,1,0.05,0,0.03,0,7,499,0,1,500
0.001,0.3,1,0.05,0,0.03,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.13,0,7,499,0,1,500
0.001,0.3,1,0.05,0,0.13,0,7,495,5,0,500
0.001,0.3,1,0.05,0,0.13,0,7,498,0,0,498
0.001,0.3,1,0.05,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.13,0,7,494,3,0,497
0.001,0.3,1,0.05,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.13,0,7,498,0,1,499
0.001,0.3,1,0.05,0,0.13,0,7,498,0,0,498
0.001,0.3,1,0.05,0,0.13,0,7,491,4,0,495
0.001,0.3,1,0.05,0,0.23,0,7,496,0,1,497
0.001,0.3,1,0.05,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.23,0,7,498,1,0,499
0.001,0.3,1,0.05,0,0.23,0,7,499,0,1,500
0.001,0.3,1,0.05,0,0.23,0,7,496,0,2,498
0.001,0.3,1,0.05,0,0.23,0,7,497,1,0,498
0.001,0.3,1,0.05,0,0.23,0,7,492,5,0,497
0.001,0.3,1,0.05,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.05,0,0.23,0,7,493,6,0,499
0.001,0.3,1,0.05,0.025,0.03,0.025,7,423,6,1,430
0.001,0.3,1,0.05,0.025,0.03,0.025,7,425,0,0,425
0.001,0.3,1,0.05,0.025,0.03,0.025,7,423,2,1,426
0.001,0.3,1,0.05,0.025,0.03,0.025,7,439,5,0,444
0.001,0.3,1,0.05,0.025,0.03,0.025,7,419,0,1,420
0.001,0.3,1,0.05,0.025,0.03,0.025,7,420,10,1,431
0.001,0.3,1,0.05,0.025,0.03,0.025,7,429,0,0,429
0.001,0.3,1,0.05,0.025,0.03,0.025,7,436,2,0,438
0.001,0.3,1,0.05,0.025,0.03,0.025,7,416,6,1,423
0.001,0.3,1,0.05,0.025,0.03,0.025,7,444,0,0,444
0.001,0.3,1,0.05,0.025,0.13,0.025,7,418,3,0,421
0.001,0.3,1,0.05,0.025,0.13,0.025,7,424,0,0,424
0.001,0.3,1,0.05,0.025,0.13,0.025,7,422,3,0,425
0.001,0.3,1,0.05,0.025,0.13,0.025,7,438,0,1,439
0.001,0.3,1,0.05,0.025,0.13,0.025,7,428,0,0,428
0.001,0.3,1,0.05,0.025,0.13,0.025,7,417,0,0,417
0.001,0.3,1,0.05,0.025,0.13,0.025,7,413,5,0,418
0.001,0.3,1,0.05,0.025,0.13,0.025,7,443,0,0,443
0.001,0.3,1,0.05,0.025,0.13,0.025,7,408,1,0,409
0.001,0.3,1,0.05,0.025,0.13,0.025,7,429,3,0,432
0.001,0.3,1,0.05,0.025,0.23,0.025,7,412,0,0,412
0.001,0.3,1,0.05,0.025,0.23,0.025,7,436,1,0,437
0.001,0.3,1,0.05,0.025,0.23,0.025,7,432,0,0,432
0.001,0.3,1,0.05,0.025,0.23,0.025,7,408,1,0,409
0.001,0.3,1,0.05,0.025,0.23,0.025,7,431,2,0,433
0.001,0.3,1,0.05,0.025,0.23,0.025,7,415,2,0,417
0.001,0.3,1,0.05,0.025,0.23,0.025,7,428,1,0,429
0.001,0.3,1,0.05,0.025,0.23,0.025,7,432,0,0,432
0.001,0.3,1,0.05,0.025,0.23,0.025,7,424,0,0,424
0.001,0.3,1,0.05,0.025,0.23,0.025,7,423,0,0,423
0.001,0.3,1,0.05,0.05,0.03,0.05,7,380,1,0,381
0.001,0.3,1,0.05,0.05,0.03,0.05,7,357,7,0,364
0.001,0.3,1,0.05,0.05,0.03,0.05,7,368,0,0,368
0.001,0.3,1,0.05,0.05,0.03,0.05,7,341,0,1,342
0.001,0.3,1,0.05,0.05,0.03,0.05,7,348,7,0,355
0.001,0.3,1,0.05,0.05,0.03,0.05,7,364,1,0,365
0.001,0.3,1,0.05,0.05,0.03,0.05,7,354,2,0,356
0.001,0.3,1,0.05,0.05,0.03,0.05,7,370,3,0,373
0.001,0.3,1,0.05,0.05,0.03,0.05,7,363,2,0,365
0.001,0.3,1,0.05,0.05,0.03,0.05,7,357,4,3,364
0.001,0.3,1,0.05,0.05,0.13,0.05,7,373,2,1,376
0.001,0.3,1,0.05,0.05,0.13,0.05,7,382,0,1,383
0.001,0.3,1,0.05,0.05,0.13,0.05,7,389,1,1,391
0.001,0.3,1,0.05,0.05,0.13,0.05,7,347,0,0,347
0.001,0.3,1,0.05,0.05,0.13,0.05,7,386,0,0,386
0.001,0.3,1,0.05,0.05,0.13,0.05,7,370,7,0,377
0.001,0.3,1,0.05,0.05,0.13,0.05,7,368,3,0,371
0.001,0.3,1,0.05,0.05,0.13,0.05,7,379,0,0,379
0.001,0.3,1,0.05,0.05,0.13,0.05,7,371,2,0,373
0.001,0.3,1,0.05,0.05,0.13,0.05,7,365,2,0,367
0.001,0.3,1,0.05,0.05,0.23,0.05,7,347,0,0,347
0.001,0.3,1,0.05,0.05,0.23,0.05,7,372,0,0,372
0.001,0.3,1,0.05,0.05,0.23,0.05,7,359,0,0,359
0.001,0.3,1,0.05,0.05,0.23,0.05,7,348,0,0,348
0.001,0.3,1,0.05,0.05,0.23,0.05,7,383,0,0,383
0.001,0.3,1,0.05,0.05,0.23,0.05,7,368,0,0,368
0.001,0.3,1,0.05,0.05,0.23,0.05,7,381,2,1,384
0.001,0.3,1,0.05,0.05,0.23,0.05,7,368,4,0,372
0.001,0.3,1,0.05,0.05,0.23,0.05,7,375,0,0,375
0.001,0.3,1,0.05,0.05,0.23,0.05,7,381,0,0,381
0.001,0.3,1,0.1,0,0.03,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.03,0,7,497,3,0,500
0.001,0.3,1,0.1,0,0.03,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.03,0,7,495,5,0,500
0.001,0.3,1,0.1,0,0.03,0,7,498,1,1,500
0.001,0.3,1,0.1,0,0.03,0,7,494,5,1,500
0.001,0.3,1,0.1,0,0.03,0,7,498,2,0,500
0.001,0.3,1,0.1,0,0.03,0,7,487,12,1,500
0.001,0.3,1,0.1,0,0.03,0,7,499,0,1,500
0.001,0.3,1,0.1,0,0.03,0,7,496,3,1,500
0.001,0.3,1,0.1,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.13,0,7,495,2,0,497
0.001,0.3,1,0.1,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.13,0,7,499,0,1,500
0.001,0.3,1,0.1,0,0.13,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.13,0,7,499,1,0,500
0.001,0.3,1,0.1,0,0.13,0,7,497,0,2,499
0.001,0.3,1,0.1,0,0.13,0,7,494,2,2,498
0.001,0.3,1,0.1,0,0.13,0,7,497,1,2,500
0.001,0.3,1,0.1,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.23,0,7,497,0,1,498
0.001,0.3,1,0.1,0,0.23,0,7,499,0,1,500
0.001,0.3,1,0.1,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.23,0,7,499,0,1,500
0.001,0.3,1,0.1,0,0.23,0,7,499,0,1,500
0.001,0.3,1,0.1,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.1,0,0.23,0,7,495,2,1,498
0.001,0.3,1,0.1,0,0.23,0,7,499,0,0,499
0.001,0.3,1,0.1,0.025,0.03,0.025,7,440,0,1,441
0.001,0.3,1,0.1,0.025,0.03,0.025,7,431,0,0,431
0.001,0.3,1,0.1,0.025,0.03,0.025,7,416,0,1,417
0.001,0.3,1,0.1,0.025,0.03,0.025,7,435,5,2,442
0.001,0.3,1,0.1,0.025,0.03,0.025,7,418,9,1,428
0.001,0.3,1,0.1,0.025,0.03,0.025,7,426,3,1,430
0.001,0.3,1,0.1,0.025,0.03,0.025,7,424,1,0,425
0.001,0.3,1,0.1,0.025,0.03,0.025,7,426,4,0,430
0.001,0.3,1,0.1,0.025,0.03,0.025,7,423,2,0,425
0.001,0.3,1,0.1,0.025,0.03,0.025,7,421,5,0,426
0.001,0.3,1,0.1,0.025,0.13,0.025,7,433,0,0,433
0.001,0.3,1,0.1,0.025,0.13,0.025,7,445,0,1,446
0.001,0.3,1,0.1,0.025,0.13,0.025,7,440,0,0,440
0.001,0.3,1,0.1,0.025,0.13,0.025,7,434,5,0,439
0.001,0.3,1,0.1,0.025,0.13,0.025,7,431,0,0,431
0.001,0.3,1,0.1,0.025,0.13,0.025,7,431,1,0,432
0.001,0.3,1,0.1,0.025,0.13,0.025,7,427,0,0,427
0.001,0.3,1,0.1,0.025,0.13,0.025,7,437,0,0,437
0.001,0.3,1,0.1,0.025,0.13,0.025,7,425,0,0,425
0.001,0.3,1,0.1,0.025,0.13,0.025,7,419,0,0,419
0.001,0.3,1,0.1,0.025,0.23,0.025,7,422,1,0,423
0.001,0.3,1,0.1,0.025,0.23,0.025,7,420,3,0,423
0.001,0.3,1,0.1,0.025,0.23,0.025,7,437,0,0,437
0.001,0.3,1,0.1,0.025,0.23,0.025,7,433,0,0,433
0.001,0.3,1,0.1,0.025,0.23,0.025,7,424,0,1,425
0.001,0.3,1,0.1,0.025,0.23,0.025,7,437,0,2,439
0.001,0.3,1,0.1,0.025,0.23,0.025,7,424,0,0,424
0.001,0.3,1,0.1,0.025,0.23,0.025,7,424,0,0,424
0.001,0.3,1,0.1,0.025,0.23,0.025,7,431,4,0,435
0.001,0.3,1,0.1,0.025,0.23,0.025,7,423,0,0,423
0.001,0.3,1,0.1,0.05,0.03,0.05,7,357,0,1,358
0.001,0.3,1,0.1,0.05,0.03,0.05,7,362,4,0,366
0.001,0.3,1,0.1,0.05,0.03,0.05,7,376,1,1,378
0.001,0.3,1,0.1,0.05,0.03,0.05,7,350,0,1,351
0.001,0.3,1,0.1,0.05,0.03,0.05,7,358,0,1,359
0.001,0.3,1,0.1,0.05,0.03,0.05,7,362,0,1,363
0.001,0.3,1,0.1,0.05,0.03,0.05,7,358,8,2,368
0.001,0.3,1,0.1,0.05,0.03,0.05,7,373,0,1,374
0.001,0.3,1,0.1,0.05,0.03,0.05,7,365,1,0,366
0.001,0.3,1,0.1,0.05,0.03,0.05,7,371,2,0,373
0.001,0.3,1,0.1,0.05,0.13,0.05,7,369,5,2,376
0.001,0.3,1,0.1,0.05,0.13,0.05,7,397,0,0,397
0.001,0.3,1,0.1,0.05,0.13,0.05,7,353,2,0,355
0.001,0.3,1,0.1,0.05,0.13,0.05,7,364,0,1,365
0.001,0.3,1,0.1,0.05,0.13,0.05,7,358,0,2,360
0.001,0.3,1,0.1,0.05,0.13,0.05,7,369,4,1,374
0.001,0.3,1,0.1,0.05,0.13,0.05,7,348,0,0,348
0.001,0.3,1,0.1,0.05,0.13,0.05,7,368,0,3,371
0.001,0.3,1,0.1,0.05,0.13,0.05,7,364,0,1,365
0.001,0.3,1,0.1,0.05,0.13,0.05,7,370,0,0,370
0.001,0.3,1,0.1,0.05,0.23,0.05,7,382,0,0,382
0.001,0.3,1,0.1,0.05,0.23,0.05,7,362,0,1,363
